TransactionID,Item
1,Sponge
1,Detergent
1,Disinfectant
1,Toothpaste
1,Bleach
1,Shampoo
2,Bread
2,Coffee
2,Butter
2,Milk
2,Cookies
2,Eggs
2,Jam
3,Sponge
3,Toothpaste
3,Razor
3,Bleach
3,Soap
3,Shampoo
3,Conditioner
4,Jam
4,Butter
4,Bread
5,Sponge
5,Detergent
5,Toothpaste
5,Razor
5,Bleach
5,Soap
5,Shampoo
6,Bread
6,Coffee
6,Butter
6,Milk
6,Cookies
6,Eggs
6,Jam
7,Sponge
7,Detergent
7,Disinfectant
7,Mop
7,Bleach
8,Sponge
8,Detergent
8,Disinfectant
8,Mop
8,Bleach
8,Soap
8,Shampoo
9,Detergent
9,Razor
9,Bleach
9,Soap
9,Shampoo
9,Conditioner
10,Bread
10,Chocolate
10,Chips
10,Cookies
11,Bread
11,Coffee
11,Butter
11,Milk
11,Eggs
11,Jam
12,Sponge
12,Detergent
12,Toothpaste
12,Razor
12,Soap
12,Shampoo
12,Conditioner
13,Popcorn
13,Cookies
13,Chips
13,Milk
14,Soap
14,Shampoo
14,Conditioner
14,Toothpaste
15,Coffee
15,Butter
15,Bread
15,Cookies
16,Detergent
16,Soap
16,Shampoo
16,Conditioner
17,Chocolate
17,Chips
17,Milk
17,Soda
17,Cookies
18,Sponge
18,Detergent
18,Toothpaste
18,Razor
18,Soap
18,Shampoo
18,Conditioner
19,Bread
19,Butter
19,Milk
19,Cookies
19,Coffee
20,Bread
20,Chocolate
20,Milk
20,Cookies
20,Eggs
21,Chocolate
21,Chips
21,Milk
21,Soda
21,Cookies
22,Bread
22,Popcorn
22,Chocolate
22,Chips
22,Milk
22,Soda
22,Cookies
23,Soap
23,Shampoo
23,Toothpaste
24,Sponge
24,Detergent
24,Toothpaste
24,Razor
24,Soap
24,Shampoo
24,Conditioner
25,Sponge
25,Razor
25,Bleach
25,Shampoo
25,Conditioner
26,Sponge
26,Toothpaste
26,Razor
26,Soap
26,Shampoo
26,Conditioner
27,Sponge
27,Detergent
27,Toothpaste
27,Razor
27,Soap
27,Shampoo
27,Conditioner
28,Sponge
28,Detergent
28,Toothpaste
28,Mop
28,Bleach
28,Soap
29,Popcorn
29,Chocolate
29,Soda
29,Chips
30,Sponge
30,Bleach
30,Soap
30,Shampoo
30,Conditioner
31,Toothpaste
31,Razor
31,Bleach
31,Shampoo
31,Conditioner
32,Sponge
32,Toothpaste
32,Razor
32,Soap
32,Shampoo
32,Conditioner
33,Detergent
33,Disinfectant
33,Toothpaste
33,Bleach
33,Soap
33,Shampoo
34,Detergent
34,Toothpaste
34,Razor
34,Bleach
34,Soap
34,Shampoo
34,Conditioner
35,Detergent
35,Toothpaste
35,Razor
35,Soap
35,Shampoo
35,Conditioner
36,Soap
36,Shampoo
36,Conditioner
36,Toothpaste
37,Coffee
37,Bread
38,Detergent
38,Shampoo
38,Toothpaste
39,Bread
39,Butter
39,Milk
39,Cookies
39,Coffee
39,Jam
40,Sponge
40,Toothpaste
40,Soap
40,Shampoo
40,Conditioner
41,Toothpaste
41,Razor
41,Bleach
41,Soap
