rule,antecedents_str,consequents_str,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_count,consequent_count
Soda -> Chips,Soda,Chips,0.2115,0.2484,0.2115,1.0,4.0258,0.159,inf,0.9532,1,1
Chocolate + Soda -> Chips,Chocolate + Soda,Chips,0.1676,0.2484,0.1676,1.0,4.0258,0.126,inf,0.9029,2,1
Popcorn -> Chips,Popcorn,Chips,0.1636,0.2484,0.1636,1.0,4.0258,0.123,inf,0.8986,1,1
Cookies + Soda -> Chips,Cookies + Soda,Chips,0.1576,0.2484,0.1576,1.0,4.0258,0.1185,inf,0.8922,2,1
Chips -> Chocolate + Soda,Chips,Chocolate + Soda,0.2484,0.1676,0.1676,0.6747,4.0258,0.126,2.559,1.0,1,2
Chips -> Cookies + Soda,Chips,Cookies + Soda,0.2484,0.1576,0.1576,0.6345,4.0258,0.1185,2.3045,1.0,1,2
Chips -> Soda,Chips,Soda,0.2484,0.2115,0.2115,0.8514,4.0258,0.159,5.308,1.0,1,1
Chips -> Popcorn,Chips,Popcorn,0.2484,0.1636,0.1636,0.6586,4.0258,0.123,2.45,1.0,1,1
Chips + Cookies -> Soda,Chips + Cookies,Soda,0.1863,0.2115,0.1576,0.8459,3.9998,0.1182,5.1184,0.9217,2,1
Soda -> Chips + Cookies,Soda,Chips + Cookies,0.2115,0.1863,0.1576,0.7452,3.9998,0.1182,3.1929,0.9512,1,2
Chips + Chocolate -> Soda,Chips + Chocolate,Soda,0.1983,0.2115,0.1676,0.8452,3.9961,0.1257,5.0931,0.9352,2,1
Soda -> Chips + Chocolate,Soda,Chips + Chocolate,0.2115,0.1983,0.1676,0.7924,3.9961,0.1257,3.8624,0.9509,1,2
Eggs -> Butter,Eggs,Butter,0.1796,0.2146,0.1525,0.8491,3.9567,0.114,5.2051,0.9109,1,1
Bread + Eggs -> Butter,Bread + Eggs,Butter,0.1796,0.2146,0.1525,0.8491,3.9567,0.114,5.2051,0.9109,2,1
Eggs -> Bread + Butter,Eggs,Bread + Butter,0.1796,0.2146,0.1525,0.8491,3.9567,0.114,5.2051,0.9109,1,2
Butter -> Eggs,Butter,Eggs,0.2146,0.1796,0.1525,0.7106,3.9567,0.114,2.8351,0.9514,1,1
Bread + Butter -> Eggs,Bread + Butter,Eggs,0.2146,0.1796,0.1525,0.7106,3.9567,0.114,2.8351,0.9514,2,1
